 Execucao1 Execucao2 Execucao3 Execucao4 Execucao5 Execucao6 Execucao7 Execucao8 Execucao9 Execucao10 Media Melhor 
1aMelhorApt -14,7457 -3,8401 -13,6592 -10,9078 -6,2744 -15,6639 -14,272 -13,4263 -6,4415 -6,7643 -10,5995 -15,6639 
2aMelhorApt -14,7457 -3,8401 -13,6592 -10,9078 -6,916 -15,6639 -14,272 -13,4263 -16,384 -6,7643 -11,6579 -16,384 
3aMelhorApt -16,8715 -3,8401 -13,6592 -10,9078 -6,916 -15,6639 -16,8418 -13,4903 -16,384 -6,7643 -12,1339 -16,8715 
4aMelhorApt -16,8715 -3,8401 -13,6592 -10,9078 -7,4198 -15,6639 -16,8418 -13,4903 -16,384 -14,0234 -12,9102 -16,8715 
5aMelhorApt -16,8715 -7,0786 -13,6592 -13,4588 -7,4198 -16,0031 -16,8723 -13,5156 -16,384 -14,0234 -13,5286 -16,8723 
6aMelhorApt -16,8715 -7,0786 -13,6592 -13,4588 -7,4198 -16,0031 -16,8723 -13,5156 -16,384 -14,0234 -13,5286 -16,8723 
7aMelhorApt -16,8715 -7,0786 -13,6592 -13,4588 -7,4198 -16,0031 -16,8747 -13,5161 -16,384 -14,0234 -13,5289 -16,8747 
8aMelhorApt -16,8715 -7,0786 -13,6592 -13,6197 -7,4198 -16,6578 -16,876 -13,5161 -16,384 -14,0234 -13,6106 -16,876 
9aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5161 -16,384 -14,0234 -13,8234 -16,876 
10aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
11aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
12aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
13aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
14aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
15aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
16aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
17aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
18aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
19aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
20aMelhorApt -16,8715 -7,0986 -13,6592 -13,6197 -9,5275 -16,6578 -16,876 -13,5162 -16,384 -14,0234 -13,8234 -16,876 
