 Execucao1 Execucao2 Execucao3 Execucao4 Execucao5 Execucao6 Execucao7 Execucao8 Execucao9 Execucao10 Media Melhor 
1aMelhorApt -6,3038 -9,5216 -13,8974 -13,9942 -16,861 -14,7452 -15,6474 -11,9429 -12,7656 -16,386 -13,2065 -16,861 
2aMelhorApt -6,3038 -14,8652 -14,6595 -13,9942 -16,861 -14,7452 -15,6474 -11,9429 -12,7656 -16,386 -13,8171 -16,861 
3aMelhorApt -6,3038 -14,8652 -14,6595 -15,3176 -16,861 -14,7452 -15,6474 -11,9429 -12,7656 -16,386 -13,9494 -16,861 
4aMelhorApt -6,8248 -14,8652 -14,9503 -15,3176 -16,861 -14,7452 -16,6537 -11,9429 -13,4074 -16,386 -14,1954 -16,861 
5aMelhorApt -7,2117 -14,8652 -16,5313 -15,3176 -16,861 -14,7452 -16,6537 -11,9429 -13,4074 -16,386 -14,3922 -16,861 
6aMelhorApt -7,4751 -16,8513 -16,5313 -15,3673 -16,8757 -14,7452 -16,6537 -11,9429 -13,4074 -16,822 -14,6672 -16,8757 
7aMelhorApt -7,4751 -16,8513 -16,5313 -15,4327 -16,8757 -14,7452 -16,6537 -11,9429 -13,4074 -16,822 -14,6737 -16,8757 
8aMelhorApt -7,4772 -16,8513 -16,7594 -15,4327 -16,876 -14,7452 -16,802 -11,9429 -13,7338 -16,822 -14,7442 -16,876 
9aMelhorApt -7,4772 -16,8525 -16,7594 -15,45 -16,876 -14,7452 -16,8527 -11,9429 -13,7374 -16,8558 -14,7549 -16,876 
10aMelhorApt -7,4772 -16,8525 -16,7726 -15,45 -16,876 -14,7452 -16,8527 -11,9429 -13,7389 -16,8678 -14,7576 -16,876 
